GeneID	Gene Name	g1	g2	g3	g4	g5	g6	g7	g8	g9
ENSMUSG00000000001	Gnai3	54,54,54,54,54	26,26,26,26,26	97,97,97,97,97	96,96,96,96,96	143,143,143,143,143	145,145,145,145,145	166,166,166,166,166	58,58,58,58,58	265,265,265,265,265
ENSMUSG00000000003	Pbsn	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0
ENSMUSG00000000028	Cdc45	2,2,2,2,2	2,2,2,2,2	2,2,2,2,2	1,1,1,1,1	3,3,3,3,3	6,6,6,6,6	21,21,21,21,21	28,28,28,28,28	68,68,68,68,68
ENSMUSG00000000031	H19	0.8,0.8,0.8,0.8,0.8	42,42,42,42,42	0.1,0.1,0.1,0.1,0.1	0.3,0.3,0.3,0.3,0.3	0.6,0.6,0.6,0.6,0.6	680,680,680,680,680	0.6,0.6,0.6,0.6,0.6	2,2,2,2,2	12,12,12,12,12
ENSMUSG00000000037	Scml2	1,1,1,1,1	0.4,0.4,0.4,0.4,0.4	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0.3,0.3,0.3,0.3,0.3	2,2,2,2,2	0.8,0.8,0.8,0.8,0.8	17,17,17,17,17	1,1,1,1,1
ENSMUSG00000000049	Apoh	0.6,0.6,0.6,0.6,0.6	0.3,0.3,0.3,0.3,0.3	9,9,9,9,9	3188,3188,3188,3188,3188	0.2,0.2,0.2,0.2,0.2	2,2,2,2,2	0,0,0,0,0	79,79,79,79,79	0.9,0.9,0.9,0.9,0.9
ENSMUSG00000000056	Narf	57,57,57,57,57	71,71,71,71,71	29,29,29,29,29	29,29,29,29,29	15,15,15,15,15	47,47,47,47,47	37,37,37,37,37	4,4,4,4,4	72,72,72,72,72
ENSMUSG00000000058	Cav2	42,42,42,42,42	55,55,55,55,55	80,80,80,80,80	5,5,5,5,5	490,490,490,490,490	54,54,54,54,54	15,15,15,15,15	3,3,3,3,3	13,13,13,13,13
ENSMUSG00000000078	Klf6	50,50,50,50,50	35,35,35,35,35	33,33,33,33,33	4,4,4,4,4	169,169,169,169,169	96,96,96,96,96	87,87,87,87,87	9,9,9,9,9	74,74,74,74,74
ENSMUSG00000000085	Scmh1	28,28,28,28,28	19,19,19,19,19	6,6,6,6,6	4,4,4,4,4	22,22,22,22,22	18,18,18,18,18	12,12,12,12,12	49,49,49,49,49	26,26,26,26,26
ENSMUSG00000000088	Cox5a	129,129,129,129,129	442,442,442,442,442	329,329,329,329,329	124,124,124,124,124	50,50,50,50,50	248,248,248,248,248	99,99,99,99,99	105,105,105,105,105	211,211,211,211,211
ENSMUSG00000000093	Tbx2	3,3,3,3,3	4,4,4,4,4	26,26,26,26,26	2,2,2,2,2	174,174,174,174,174	4,4,4,4,4	3,3,3,3,3	1,1,1,1,1	2,2,2,2,2
ENSMUSG00000000094	Tbx4	0.3,0.3,0.3,0.3,0.3	0.2,0.2,0.2,0.2,0.2	0,0,0,0,0	0,0,0,0,0	83,83,83,83,83	2,2,2,2,2	0.1,0.1,0.1,0.1,0.1	0.9,0.9,0.9,0.9,0.9	0,0,0,0,0
ENSMUSG00000000103	Zfy2	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	8,8,8,8,8	0,0,0,0,0
ENSMUSG00000000120	Ngfr	8,8,8,8,8	1,1,1,1,1	1,1,1,1,1	6,6,6,6,6	1,1,1,1,1	13,13,13,13,13	20,20,20,20,20	17,17,17,17,17	3,3,3,3,3
ENSMUSG00000000125	Wnt3	8,8,8,8,8	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	44,44,44,44,44	0.2,0.2,0.2,0.2,0.2	48,48,48,48,48	0.3,0.3,0.3,0.3,0.3
ENSMUSG00000000126	Wnt9a	11,11,11,11,11	6,6,6,6,6	0.9,0.9,0.9,0.9,0.9	0.5,0.5,0.5,0.5,0.5	13,13,13,13,13	9,9,9,9,9	0.7,0.7,0.7,0.7,0.7	0.7,0.7,0.7,0.7,0.7	3,3,3,3,3
ENSMUSG00000000127	Fer	20,20,20,20,20	13,13,13,13,13	5,5,5,5,5	6,6,6,6,6	18,18,18,18,18	17,17,17,17,17	4,4,4,4,4	27,27,27,27,27	4,4,4,4,4
ENSMUSG00000000131	Xpo6	29,29,29,29,29	4,4,4,4,4	4,4,4,4,4	7,7,7,7,7	12,12,12,12,12	10,10,10,10,10	31,31,31,31,31	59,59,59,59,59	31,31,31,31,31
ENSMUSG00000000134	Tfe3	18,18,18,18,18	5,5,5,5,5	5,5,5,5,5	9,9,9,9,9	18,18,18,18,18	18,18,18,18,18	20,20,20,20,20	8,8,8,8,8	14,14,14,14,14
ENSMUSG00000000142	Axin2	21,21,21,21,21	3,3,3,3,3	0.7,0.7,0.7,0.7,0.7	5,5,5,5,5	23,23,23,23,23	23,23,23,23,23	9,9,9,9,9	2,2,2,2,2	15,15,15,15,15
ENSMUSG00000000148	Brat1	17,17,17,17,17	4,4,4,4,4	4,4,4,4,4	6,6,6,6,6	13,13,13,13,13	9,9,9,9,9	22,22,22,22,22	11,11,11,11,11	23,23,23,23,23
ENSMUSG00000000149	Gna12	120,120,120,120,120	113,113,113,113,113	66,66,66,66,66	105,105,105,105,105	123,123,123,123,123	57,57,57,57,57	88,88,88,88,88	42,42,42,42,42	72,72,72,72,72
ENSMUSG00000000154	Slc22a18	0.6,0.6,0.6,0.6,0.6	0.9,0.9,0.9,0.9,0.9	737,737,737,737,737	180,180,180,180,180	20,20,20,20,20	11,11,11,11,11	3,3,3,3,3	25,25,25,25,25	5,5,5,5,5
ENSMUSG00000000157	Itgb2l	0.4,0.4,0.4,0.4,0.4	0,0,0,0,0	0.9,0.9,0.9,0.9,0.9	0.2,0.2,0.2,0.2,0.2	1,1,1,1,1	0,0,0,0,0	2,2,2,2,2	0,0,0,0,0	0.4,0.4,0.4,0.4,0.4
ENSMUSG00000000159	Igsf5	0.4,0.4,0.4,0.4,0.4	0.1,0.1,0.1,0.1,0.1	54,54,54,54,54	12,12,12,12,12	14,14,14,14,14	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0.4,0.4,0.4,0.4,0.4	0,0,0,0,0
ENSMUSG00000000167	Pih1d2	3,3,3,3,3	0.2,0.2,0.2,0.2,0.2	4,4,4,4,4	1,1,1,1,1	6,6,6,6,6	1,1,1,1,1	0.8,0.8,0.8,0.8,0.8	45,45,45,45,45	1,1,1,1,1
ENSMUSG00000000168	Dlat	102,102,102,102,102	249,249,249,249,249	74,74,74,74,74	28,28,28,28,28	32,32,32,32,32	64,64,64,64,64	30,30,30,30,30	66,66,66,66,66	56,56,56,56,56
ENSMUSG00000000171	Sdhd	220,220,220,220,220	832,832,832,832,832	1597,1597,1597,1597,1597	477,477,477,477,477	168,168,168,168,168	415,415,415,415,415	253,253,253,253,253	127,127,127,127,127	519,519,519,519,519
ENSMUSG00000000182	Fgf23	0.9,0.9,0.9,0.9,0.9	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1	0,0,0,0,0	0.1,0.1,0.1,0.1,0.1
