E-GEOD-74747		SRR2927735	characteristic	age	8 week
E-GEOD-74747		SRR2927735	characteristic	genotype	wild type
E-GEOD-74747		SRR2927735	characteristic	organism	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
E-GEOD-74747		SRR2927735	characteristic	organism part	brain	http://purl.obolibrary.org/obo/UBERON_0000955
E-GEOD-74747		SRR2927735	characteristic	sex	male	http://purl.obolibrary.org/obo/PATO_0000384
E-GEOD-74747		SRR2927735	characteristic	strain	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0004472
E-GEOD-74747		SRR2927735	factor	organism part	brain	http://purl.obolibrary.org/obo/UBERON_0000955
E-GEOD-74747		SRR2927736	characteristic	age	8 week
E-GEOD-74747		SRR2927736	characteristic	genotype	wild type
E-GEOD-74747		SRR2927736	characteristic	organism	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
E-GEOD-74747		SRR2927736	characteristic	organism part	heart	http://purl.obolibrary.org/obo/UBERON_0000948
E-GEOD-74747		SRR2927736	characteristic	sex	male	http://purl.obolibrary.org/obo/PATO_0000384
E-GEOD-74747		SRR2927736	characteristic	strain	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0004472
E-GEOD-74747		SRR2927736	factor	organism part	heart	http://purl.obolibrary.org/obo/UBERON_0000948
E-GEOD-74747		SRR2927737	characteristic	age	8 week
E-GEOD-74747		SRR2927737	characteristic	genotype	wild type
E-GEOD-74747		SRR2927737	characteristic	organism	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
E-GEOD-74747		SRR2927737	characteristic	organism part	kidney	http://purl.obolibrary.org/obo/UBERON_0002113
E-GEOD-74747		SRR2927737	characteristic	sex	male	http://purl.obolibrary.org/obo/PATO_0000384
E-GEOD-74747		SRR2927737	characteristic	strain	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0004472
E-GEOD-74747		SRR2927737	factor	organism part	kidney	http://purl.obolibrary.org/obo/UBERON_0002113
E-GEOD-74747		SRR2927738	characteristic	age	8 week
E-GEOD-74747		SRR2927738	characteristic	genotype	wild type
E-GEOD-74747		SRR2927738	characteristic	organism	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
E-GEOD-74747		SRR2927738	characteristic	organism part	liver	http://purl.obolibrary.org/obo/UBERON_0002107
E-GEOD-74747		SRR2927738	characteristic	sex	male	http://purl.obolibrary.org/obo/PATO_0000384
E-GEOD-74747		SRR2927738	characteristic	strain	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0004472
E-GEOD-74747		SRR2927738	factor	organism part	liver	http://purl.obolibrary.org/obo/UBERON_0002107
E-GEOD-74747		SRR2927739	characteristic	age	8 week
E-GEOD-74747		SRR2927739	characteristic	genotype	wild type
E-GEOD-74747		SRR2927739	characteristic	organism	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
E-GEOD-74747		SRR2927739	characteristic	organism part	lung	http://purl.obolibrary.org/obo/UBERON_0002048
E-GEOD-74747		SRR2927739	characteristic	sex	male	http://purl.obolibrary.org/obo/PATO_0000384
E-GEOD-74747		SRR2927739	characteristic	strain	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0004472
E-GEOD-74747		SRR2927739	factor	organism part	lung	http://purl.obolibrary.org/obo/UBERON_0002048
E-GEOD-74747		SRR2927740	characteristic	age	8 week
E-GEOD-74747		SRR2927740	characteristic	genotype	wild type
E-GEOD-74747		SRR2927740	characteristic	organism	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
E-GEOD-74747		SRR2927740	characteristic	organism part	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014
E-GEOD-74747		SRR2927740	characteristic	sex	male	http://purl.obolibrary.org/obo/PATO_0000384
E-GEOD-74747		SRR2927740	characteristic	strain	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0004472
E-GEOD-74747		SRR2927740	factor	organism part	zone of skin	http://purl.obolibrary.org/obo/UBERON_0000014
E-GEOD-74747		SRR2927741	characteristic	age	8 week
E-GEOD-74747		SRR2927741	characteristic	genotype	wild type
E-GEOD-74747		SRR2927741	characteristic	organism	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
E-GEOD-74747		SRR2927741	characteristic	organism part	spleen	http://purl.obolibrary.org/obo/UBERON_0002106
E-GEOD-74747		SRR2927741	characteristic	sex	male	http://purl.obolibrary.org/obo/PATO_0000384
E-GEOD-74747		SRR2927741	characteristic	strain	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0004472
E-GEOD-74747		SRR2927741	factor	organism part	spleen	http://purl.obolibrary.org/obo/UBERON_0002106
E-GEOD-74747		SRR2927742	characteristic	age	8 week
E-GEOD-74747		SRR2927742	characteristic	genotype	wild type
E-GEOD-74747		SRR2927742	characteristic	organism	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
E-GEOD-74747		SRR2927742	characteristic	organism part	testis	http://purl.obolibrary.org/obo/UBERON_0000473
E-GEOD-74747		SRR2927742	characteristic	sex	male	http://purl.obolibrary.org/obo/PATO_0000384
E-GEOD-74747		SRR2927742	characteristic	strain	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0004472
E-GEOD-74747		SRR2927742	factor	organism part	testis	http://purl.obolibrary.org/obo/UBERON_0000473
E-GEOD-74747		SRR2927743	characteristic	age	8 week
E-GEOD-74747		SRR2927743	characteristic	genotype	wild type
E-GEOD-74747		SRR2927743	characteristic	organism	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
E-GEOD-74747		SRR2927743	characteristic	organism part	thymus	http://purl.obolibrary.org/obo/UBERON_0002370
E-GEOD-74747		SRR2927743	characteristic	sex	male	http://purl.obolibrary.org/obo/PATO_0000384
E-GEOD-74747		SRR2927743	characteristic	strain	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0004472
E-GEOD-74747		SRR2927743	factor	organism part	thymus	http://purl.obolibrary.org/obo/UBERON_0002370
